Flat_Name,Flat_Location,Flat_Price,Flat_image_url
 3+kt 80 m²,"V Roháči I., Jesenice",7890000,"https://d18-a.sdn.cz/d_18/c_img_QP_LN/acxchv.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 31 m²,"Komárovská, Brno - Komárov",4255918,"https://d18-a.sdn.cz/d_18/c_img_gX_0/hq4aL5.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 69 m²,"Sochorova, Vyškov",3400000,"https://d18-a.sdn.cz/d_18/c_img_QQ_Ls/NFaqgu.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 140 m²,"Pitterova, Praha 3 - Žižkov",16900000,"https://d18-a.sdn.cz/d_18/c_img_QN_KG/WVdBhj7.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 79 m²,"Radotínská, Bílovec",2750000,"https://d18-a.sdn.cz/d_18/c_img_QO_K8/Dvi5xw.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 73 m²,"Karlínské náměstí, Praha 8 - Karlín",10900000,"https://d18-a.sdn.cz/d_18/c_img_QR_MN/hrpBH41.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 113 m²,"Letohradská, Kamenice - Ládví",8900000,"https://d18-a.sdn.cz/d_18/c_img_gS_0/DCvWJS.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 52 m²,"Zrzavého, Praha 6 - Řepy",6500000,"https://d18-a.sdn.cz/d_18/c_img_QJ_Jx/1pcY18.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 100 m²,"Jindřicha Plachty, Praha 5 - Smíchov",14950000,"https://d18-a.sdn.cz/d_18/c_img_QP_LH/W3Bi07.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 51 m²,"Janovského, Praha 7 - Holešovice",8900000,"https://d18-a.sdn.cz/d_18/c_img_QR_MI/t1pBXQb.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 133 m²,"Uhříněveská, Průhonice",1,"https://d18-a.sdn.cz/d_18/c_img_QO_K5/7H3BRz0.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+1 43 m²,"U Půjčovny, Praha 1 - Nové Město",8990000,"https://d18-a.sdn.cz/d_18/c_img_QQ_LX/xqQHz7.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 51 m²,"Korunní, Praha 10 - Vinohrady",7500000,"https://d18-a.sdn.cz/d_18/c_img_QI_Jr/47hZwT.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 56 m²,"Komárovská, Brno - Komárov",7298342,"https://d18-a.sdn.cz/d_18/c_img_QP_LN/PTNkFJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 48 m²,"Maroldova, Praha 4 - Nusle",9127000,"https://d18-a.sdn.cz/d_18/c_img_QM_Kp/GTiYfP.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 74 m²,"Maroldova, Praha 4 - Nusle",13080000,"https://d18-a.sdn.cz/d_18/c_img_QO_K8/bwpZTp.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 100 m²,"Michalská, Praha 1 - Staré Město",16450000,"https://d18-a.sdn.cz/d_18/c_img_QL_KC/cyVBVvY.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+1 93 m²,"Vyžlovská, Praha 10 - Strašnice",10750000,"https://d18-a.sdn.cz/d_18/c_img_QL_KA/lqsE5Q.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 35 m²,"Heřmanova Huť, district Plzeň-sever",2480000,"https://d18-a.sdn.cz/d_18/c_img_QN_KG/Eydbpp.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 67 m²,"Heřmanova Huť, district Plzeň-sever",3739000,"https://d18-a.sdn.cz/d_18/c_img_QK_Jw/kmSN8Q.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 96 m²,"Heřmanova Huť, district Plzeň-sever",4980000,"https://d18-a.sdn.cz/d_18/c_img_gZ_0/3kKOrj.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 53 m²,"Poděbradská, Praha 9 - Hloubětín",6999000,"https://d18-a.sdn.cz/d_18/c_img_QO_LA/EyVBEzi.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 70 m²,"Zárubova, Praha 4 - Kamýk",7699000,"https://d18-a.sdn.cz/d_18/c_img_QP_LN/Du9BNBh.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 40 m²,"Bělocerkevská, Praha 10 - Vršovice",6399000,"https://d18-a.sdn.cz/d_18/c_img_QL_KC/vheBZEJ.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 4+kt 83 m²,"Hodkovická, Praha 4 - Kamýk",7999000,"https://d18-a.sdn.cz/d_18/c_img_QQ_Ls/eCxFs2.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 53 m²,"Ke Strašnické, Praha 10 - Strašnice",6749000,"https://d18-a.sdn.cz/d_18/c_img_gY_z/DkYDqS.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 1+kt 16 m²,"Na Šťáhlavce, Praha 6 - Dejvice",3699000,"https://d18-a.sdn.cz/d_18/c_img_QM_Km/G7KBeg3.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 68 m²,"Sečská, Praha 10 - Strašnice",7999000,"https://d18-a.sdn.cz/d_18/c_img_QO_LA/c8DBYh2.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 2+kt 50 m²,"Na Pankráci, Praha 4 - Nusle",7199000,"https://d18-a.sdn.cz/d_18/c_img_gS_0/Or2XLO.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
 3+kt 55 m²,"Konšelská, Praha 8 - Libeň",7499000,"https://d18-a.sdn.cz/d_18/c_img_QQ_Ls/6pYBUMO.jpeg?fl=res,400,300,3|shr,,20|jpg,90"
